English,urdu
Aab Baaz,آب باز
Aab Baz,آب باز
Aab E Dur,آب در
Aab-e-Dur,آب در
Aabaadi,آبادی
Aabad,آباد
Aabadi,آبادی
Aabdaar,آبدار
Aabdar,آبدار
Aabed,عابد
Aabid,عابد
Aabideen,عابدین
Aabis,عابس
Aabise,عابث
Aabloch,آبلوچ
Aabluch,آبلوچ
Aabnoos,آبنوس
Aabnos,آبنوس
Aabnus,آبنوس
Aadam,آدم
Aadar,عادر
Aadas,عادس
Aadeel,عدیل
Aadil,عادل
Aaess,عائث
Aafaaq,آفاق
Aafandi,آفندی
Aafaq,آفاق
Aafeen,عافین
Aafi,عافی
Aafien,عافین
Aafin,عافین
Aafsar,عافسر
Aaghaa,آغا
Aaghar,آغر
Aahaad,آحاد
Aahad,آحاد
Aahid,عاہد
Aahil,آہل ۔ آحل
Aaid,عائد
Aaien,عاہن
Aaiesh,عائش
Aail,عائل
Aain,عائن
Aaiq,عائق
Aaish,عائش
Aaiss,عائث
Aaiz,عائذ
Aajil,عاجل
Aajiz,عاجز
Aakhiz,آخذ
Aakhon,آخون
Aakhoon,آخون
Aaki,عاکی
Aakif,آکف
Aalaa,اعلیٰ
Aalah,اعلیٰ
Aalam,عالم
Aalamgeer,عالمگیر
Aali,عالی
Aalif,آلف
Aalii,عالی
Aalim,عالم
Aaliyan,عالیان
Aallama,علامہ
Aamad,عامد
Aameen,آمین
Aamel,عامل
Aamerr,عامر
Aamil,عامل
Aamin,آمین
Aamir,عامر
Aamoz,آموز
Aamozgar,آموزگار
Aamurzgaar,آمرزگار
Aamurzgar,آمرزگار
Aaqaa,آقا
Aaqib,عاقب
Aaqir,عاقر
Aaraam Jaan,آرام جان
Aaraas,اعراس
Aaraaz,آراض
Aarab,عارب
Aaram,عارم
Aaram Jaan,آرام جان
Aarat,آرت
Aaraz,آراض
Aarbal,آربل
Aarbel,آربل
Aarez,عارض
Aarfeen,عارفین
Aarib,عریب
Aarif,عارف
Aarifin,عارفین
Aariz,عارض
Aarj,آرج
Aaron,ارون
Aas,عاص
Aasaal,اسال
Aasaf,آصَف
Aasaf Jaah,آصف جاہ
Aasaf Jah,آصف جاہ
Aasel,عاسل
Aasem,عاصم
Aaser,عاصر
Aasfi,آصفی
Aashaam,آشام
Aasham,آشام
Aashufta,آشفتہ
Aashuftah,آشفتہ
Aasif Jaah,آصف جاہ
Aasil,اصیل
Aasim,عاصم
Aasir,عاصر
Aasmeer,آژمیر
Aasmir,آژمیر
Aasodah,آسودہ
Aasoodah,آسودہ
Aasta,آستا
Aatak,آتک
Aatar,عاطر
Aatazaz,اعتزاز
Aati,عاطی
Aatif,عاطف
Aatifat,عاطفت
Aatim,عاطم
Aatiq,عتیق
Aatir,عاطر
Aatish Afroz,آتش افروز
Aatish Anaan,آتش عناں
Aatish Anan,آتش عناں
Aatish Qadam,آتش قدم
Aatish-Qadam,آتش قدم
Aatm,آتم
Aawaan,اعوان
Aawais,اویس
Aawaiz,آویز
Aawan,آوان
Aawez,آویز
Aayad,آید
Aayan,آیان
Aayed,عاید
Aayez,عائز
Aazaad,آزاد
Aazaar,آذار
Aazam,اعظم
Aazar,عاذر
Aazaram,آزرم
Aazarm,آزرم
Aazeen,آذین
Aazib,عازب
Aazif,عازف
Aazim,عازم
Aazin,آذین
Aazir,عاذر
Aazma,آزما
Aazz,اعاز
Ab-e-nuqra,آب نقرہ
Aba,عبا
Abaa,عبا
Abaad,عباد
Abaal,عبال
Abaan,ابان
Abaariq,اباریق
Abab,اعباب
Ababil,ابابیل
Abad,عباد
Abadah,عبادہ
Abadard,ابدرد
Abadi,آبادی
Abadilat,عبادلت
Abadullah,عبد ﷲ
Abahat,اباحت
Abahh,اباه
Abaid,عبید
Abaj,آبج
Aban,ابن
Abanjar,ابنجر
Abann,ابن
Abannak,آبَننَک
Abanus,آبانوس
Abaq,عبق
Abar,عبر
Abaravand,اباراوند
Abarin Notavan,عبران نوٹوں
Abariq,اباریق
Abas,آبس
Abasi,عباسی
Abasin,اباسین
Abass,عباس
Abba,ابا
Abbaa,عبا
Abbaas,عباس
Abbad,ابُد
Abbar,ابار
Abbas,عباس
Abbasi,عباسی
Abbasiyah,عباسیہ
Abbudin,عابدین
Abd,عبد
Abd Al Ala,عبد الاعلی
Abd Al Alim,عبد العلیم
Abd Al Bari,عبد الباری
Abd Al Hakim,عبدالحاکم
Abd Al Jabbar,عبد الجبار
Abd Al Matin,عبدالمتین
Abd Al Qadir,عبد القادر
Abd Al Rashid,عبد الرشید
Abd Al Sami,عبدالسمی
Abd Al-Muttalib,عبد المطلب
Abd Al-Qadir,عبد القادر
Abd Er Rahman,عبد الرحمان
Abd Khayr,عبدل خیر
Abd Manaf,عبد المناف
Abd-al-Qadir,عبد القادر
Abdaal,ابدال
Abdah,ابداه
Abdal,عبدل
Abdal Ati,عبد العطی
Abdal Aziz,عبد العزیز
Abdal Fattah,عبد الفتح
Abdal Hadi,عبدالحادی
